,flight_nm,depart_ts,arrival_ts,diff
0,AA-2098-ORD-BOS,15:38,18:33,175
21,AA-2098-ORD-BOS,15:38,18:10,152
22,AA-2098-ORD-BOS,15:38,18:10,152
23,AA-2098-ORD-BOS,15:20,18:30,190
24,AA-2098-ORD-BOS,15:20,18:30,190
25,AA-2098-ORD-BOS,15:20,18:30,190
26,AA-2098-ORD-BOS,15:38,18:10,152
27,AA-2098-ORD-BOS,15:20,18:30,190
20,AA-2098-ORD-BOS,15:20,18:10,170
28,AA-2098-ORD-BOS,15:20,18:30,190
30,AA-2098-ORD-BOS,15:20,18:37,197
31,AA-2098-ORD-BOS,15:20,18:37,197
32,AA-2098-ORD-BOS,15:20,18:30,190
33,AA-2098-ORD-BOS,15:38,18:30,172
34,AA-2098-ORD-BOS,15:38,18:30,172
35,AA-2098-ORD-BOS,15:20,18:37,197
36,AA-2098-ORD-BOS,15:20,18:37,197
29,AA-2098-ORD-BOS,15:20,18:37,197
37,AA-2098-ORD-BOS,15:20,18:37,197
19,AA-2098-ORD-BOS,15:20,18:30,190
17,AA-2098-ORD-BOS,15:38,18:31,173
1,AA-2098-ORD-BOS,15:38,18:33,175
2,AA-2098-ORD-BOS,15:38,18:33,175
3,AA-2098-ORD-BOS,15:38,18:33,175
4,AA-2098-ORD-BOS,15:38,18:33,175
5,AA-2098-ORD-BOS,15:20,18:10,170
6,AA-2098-ORD-BOS,15:20,18:10,170
7,AA-2098-ORD-BOS,15:20,18:37,197
18,AA-2098-ORD-BOS,15:20,18:30,190
8,AA-2098-ORD-BOS,15:20,18:37,197
10,AA-2098-ORD-BOS,15:20,18:30,190
11,AA-2098-ORD-BOS,15:20,18:30,190
12,AA-2098-ORD-BOS,15:38,18:37,179
13,AA-2098-ORD-BOS,15:38,18:37,179
14,AA-2098-ORD-BOS,15:38,18:37,179
15,AA-2098-ORD-BOS,15:38,18:37,179
16,AA-2098-ORD-BOS,15:38,18:37,179
9,AA-2098-ORD-BOS,15:20,18:37,197
38,AA-2098-ORD-BOS,15:38,18:30,172
